Avaliador,Questao,Origem,Grupo,Criterio,Nota
1,1,Tese,Humana,Pensamento Computacional,4
2,1,Tese,Humana,Pensamento Computacional,4
3,1,Tese,Humana,Pensamento Computacional,4
1,1,Tese,Humana,Clareza,3
2,1,Tese,Humana,Clareza,4
3,1,Tese,Humana,Clareza,4
1,1,Tese,Humana,Dificuldade,4
2,1,Tese,Humana,Dificuldade,5
3,1,Tese,Humana,Dificuldade,4
1,1,Tese,Humana,Qualidade Pedagógica,3
2,1,Tese,Humana,Qualidade Pedagógica,3
3,1,Tese,Humana,Qualidade Pedagógica,4
1,1,Tese,Humana,Interdisciplinaridade,5
2,1,Tese,Humana,Interdisciplinaridade,2
3,1,Tese,Humana,Interdisciplinaridade,4
1,2,Tese,Humana,Pensamento Computacional,4
2,2,Tese,Humana,Pensamento Computacional,5
3,2,Tese,Humana,Pensamento Computacional,4
1,2,Tese,Humana,Clareza,4
2,2,Tese,Humana,Clareza,5
3,2,Tese,Humana,Clareza,4
1,2,Tese,Humana,Dificuldade,4
2,2,Tese,Humana,Dificuldade,4
3,2,Tese,Humana,Dificuldade,4
1,2,Tese,Humana,Qualidade Pedagógica,4
2,2,Tese,Humana,Qualidade Pedagógica,5
3,2,Tese,Humana,Qualidade Pedagógica,4
1,2,Tese,Humana,Interdisciplinaridade,4
2,2,Tese,Humana,Interdisciplinaridade,4
3,2,Tese,Humana,Interdisciplinaridade,4
1,3,Tese,Humana,Pensamento Computacional,3
2,3,Tese,Humana,Pensamento Computacional,5
3,3,Tese,Humana,Pensamento Computacional,5
1,3,Tese,Humana,Clareza,4
2,3,Tese,Humana,Clareza,5
3,3,Tese,Humana,Clareza,5
1,3,Tese,Humana,Dificuldade,5
2,3,Tese,Humana,Dificuldade,5
3,3,Tese,Humana,Dificuldade,5
1,3,Tese,Humana,Qualidade Pedagógica,4
2,3,Tese,Humana,Qualidade Pedagógica,5
3,3,Tese,Humana,Qualidade Pedagógica,5
1,3,Tese,Humana,Interdisciplinaridade,5
2,3,Tese,Humana,Interdisciplinaridade,5
3,3,Tese,Humana,Interdisciplinaridade,5
1,4,ChatGPT,IA,Pensamento Computacional,4
2,4,ChatGPT,IA,Pensamento Computacional,5
3,4,ChatGPT,IA,Pensamento Computacional,5
1,4,ChatGPT,IA,Clareza,4
2,4,ChatGPT,IA,Clareza,5
3,4,ChatGPT,IA,Clareza,5
1,4,ChatGPT,IA,Dificuldade,4
2,4,ChatGPT,IA,Dificuldade,5
3,4,ChatGPT,IA,Dificuldade,5
1,4,ChatGPT,IA,Qualidade Pedagógica,4
2,4,ChatGPT,IA,Qualidade Pedagógica,5
3,4,ChatGPT,IA,Qualidade Pedagógica,5
1,4,ChatGPT,IA,Interdisciplinaridade,4
2,4,ChatGPT,IA,Interdisciplinaridade,4
3,4,ChatGPT,IA,Interdisciplinaridade,5
1,5,Gemini,IA,Pensamento Computacional,4
2,5,Gemini,IA,Pensamento Computacional,5
3,5,Gemini,IA,Pensamento Computacional,4
1,5,Gemini,IA,Clareza,2
2,5,Gemini,IA,Clareza,5
3,5,Gemini,IA,Clareza,4
1,5,Gemini,IA,Dificuldade,4
2,5,Gemini,IA,Dificuldade,4
3,5,Gemini,IA,Dificuldade,4
1,5,Gemini,IA,Qualidade Pedagógica,3
2,5,Gemini,IA,Qualidade Pedagógica,4
3,5,Gemini,IA,Qualidade Pedagógica,4
1,5,Gemini,IA,Interdisciplinaridade,5
2,5,Gemini,IA,Interdisciplinaridade,5
3,5,Gemini,IA,Interdisciplinaridade,4
1,6,Tese,Humana,Pensamento Computacional,2
2,6,Tese,Humana,Pensamento Computacional,4
3,6,Tese,Humana,Pensamento Computacional,5
1,6,Tese,Humana,Clareza,5
2,6,Tese,Humana,Clareza,4
3,6,Tese,Humana,Clareza,5
1,6,Tese,Humana,Dificuldade,5
2,6,Tese,Humana,Dificuldade,4
3,6,Tese,Humana,Dificuldade,5
1,6,Tese,Humana,Qualidade Pedagógica,5
