Grupo,Criterio,Media,Mediana,Desvio_Padrao
Humana,Clareza,4.466666666666667,4.5,0.5713464637233657
Humana,Dificuldade,4.5,4.5,0.5085476277156078
Humana,Interdisciplinaridade,3.8333333333333335,4.0,1.2058287558794354
Humana,Pensamento Computacional,4.233333333333333,4.0,0.897634182970313
Humana,Qualidade Pedagógica,4.4,4.0,0.6214554662658656
IA,Clareza,4.3,4.5,0.9153857298880942
IA,Dificuldade,4.333333333333333,4.0,0.6064784348631228
IA,Interdisciplinaridade,4.6,5.0,0.4982728791224399
IA,Pensamento Computacional,4.6,5.0,0.6214554662658653
IA,Qualidade Pedagógica,4.333333333333333,4.0,0.6608945522512667
