Questao,Origem,Grupo,Media,Mediana,Desvio_Padrao
1,Tese,Humana,3.8,4.0,0.7745966692414834
2,Tese,Humana,4.2,4.0,0.4140393356054127
3,Tese,Humana,4.733333333333333,5.0,0.5936168397046636
4,ChatGPT,IA,4.6,5.0,0.50709255283711
5,Gemini,IA,4.066666666666666,4.0,0.7988086367179803
6,Tese,Humana,4.066666666666666,5.0,1.3345232785352155
7,Gemini,IA,4.4,5.0,0.9856107606091624
8,OBI,Humana,4.133333333333334,4.0,0.9154754164341269
9,ChatGPT,IA,4.2,4.0,0.4140393356054125
10,OBI,Humana,4.333333333333333,5.0,1.0465362369445672
11,Gemini,IA,4.4,5.0,0.9856107606091624
12,ChatGPT,IA,4.533333333333333,5.0,0.6399404734221844
13,OBI,Humana,3.8,4.0,0.5606119105813882
14,OBI,Humana,4.266666666666667,4.0,0.5936168397046637
15,Gemini,IA,4.466666666666667,4.0,0.5163977794943222
16,ChatGPT,IA,4.2,4.0,0.5606119105813882
17,OBI,Humana,4.733333333333333,5.0,0.5936168397046637
18,Gemini,IA,4.533333333333333,5.0,0.5163977794943222
19,OBI,Humana,4.8,5.0,0.41403933560541256
20,ChatGPT,IA,4.933333333333334,5.0,0.25819888974716115
